@RELATION "multilabel_instances_train: -C -3"
@ATTRIBUTE docid        STRING
@ATTRIBUTE mention      STRING
@ATTRIBUTE offset       NUMERIC
@ATTRIBUTE link         STRING
@ATTRIBUTE swords  NUMERIC
@ATTRIBUTE sf         NUMERIC
@ATTRIBUTE sdf      NUMERIC
@ATTRIBUTE scand      NUMERIC
@ATTRIBUTE mpos      NUMERIC
@ATTRIBUTE msent     NUMERIC
@ATTRIBUTE dwords     NUMERIC
@ATTRIBUTE dents   NUMERIC
@ATTRIBUTE Aclass        {0,1}
@ATTRIBUTE Bclass        {0,1}
@ATTRIBUTE Tclass        {0,1}

@DATA
"voa20001223.2000.0139","vojislav kostunica",40,"NULL",2.0,1.0,0.0,1.0,0.09,132.0,65.0,3.0,1,1,1
"voa20001223.2000.0139","slobodan milosevic",325,"NULL",2.0,1.0,1.0,1.0,0.76,117.0,65.0,3.0,1,1,1
"voa20001223.2000.0139","democratic opposition of serbia",138,"NULL",4.0,1.0,0.0,1.0,0.32,105.0,65.0,3.0,1,1,1
"voa20001220.2000.0060","voa news",19,"NULL",2.0,1.0,2.0,1.0,0.02,99.0,150.0,3.0,1,1,1
"voa20001220.2000.0060","housing and urban development",701,"NULL",4.0,1.0,0.0,2.0,0.78,101.0,150.0,3.0,1,0,0
"voa20001220.2000.0060","george w bush",45,"NULL",3.0,1.0,0.0,1.0,0.05,72.0,150.0,3.0,1,1,1
"voa20001129.2000.0364","us supreme court",168,"NULL",3.0,1.0,2.0,2.0,0.05,138.0,659.0,9.0,1,0,1
"voa20001129.2000.0364","supreme court",472,"NULL",2.0,7.0,5.0,212.0,0.13,146.0,659.0,9.0,1,0,0
"voa20001129.2000.0364","supreme court",3473,"NULL",2.0,7.0,5.0,212.0,0.94,159.0,659.0,9.0,1,0,1
"voa20001129.2000.0364","supreme court",2475,"NULL",2.0,7.0,5.0,212.0,0.67,203.0,659.0,9.0,1,0,1
"voa20001129.2000.0364","supreme court",2023,"NULL",2.0,7.0,5.0,212.0,0.55,90.0,659.0,9.0,1,0,0
"voa20001129.2000.0364","supreme court",1832,"NULL",2.0,7.0,5.0,212.0,0.5,151.0,659.0,9.0,1,0,0
"voa20001129.2000.0364","supreme court",1545,"NULL",2.0,7.0,5.0,212.0,0.42,94.0,659.0,9.0,1,0,0
"voa20001129.2000.0364","lawrence tribe",770,"NULL",2.0,1.0,1.0,0.0,0.21,170.0,659.0,9.0,1,1,0
"pri20001201.2000.1828","us supreme court",63,"NULL",3.0,2.0,2.0,2.0,0.05,126.0,224.0,8.0,1,0,1
"pri20001201.2000.1828","us supreme court",1013,"NULL",3.0,2.0,2.0,2.0,0.77,70.0,224.0,8.0,1,0,1
"pri20001201.2000.1828","sandra day o'connor",776,"NULL",3.0,1.0,1.0,2.0,0.59,99.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","george w. bush",317,"NULL",3.0,1.0,0.0,5.0,0.24,373.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","florida supreme court",541,"NULL",3.0,2.0,2.0,1.0,0.41,295.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","florida supreme court",1144,"NULL",3.0,2.0,2.0,1.0,0.87,185.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","federal high court",498,"NULL",3.0,1.0,0.0,1.0,0.38,295.0,224.0,8.0,1,1,0
"pri20001128.2000.0055","palm beach county",667,"NULL",3.0,1.0,1.0,3.0,0.23,354.0,497.0,10.0,1,1,1
"pri20001128.2000.0055","npr news",18,"NULL",2.0,2.0,2.0,1.0,0.01,49.0,497.0,10.0,1,1,0
"pri20001128.2000.0055","npr",282,"NULL",1.0,4.0,0.0,7.0,0.1,40.0,497.0,10.0,1,1,1
"pri20001128.2000.0055","npr",2814,"NULL",1.0,4.0,0.0,7.0,0.99,45.0,497.0,10.0,1,1,1
"pri20001128.2000.0055","npr",1824,"NULL",1.0,4.0,0.0,7.0,0.64,56.0,497.0,10.0,1,1,1
"pri20001128.2000.0055","miami dade county",513,"NULL",3.0,1.0,1.0,1.0,0.18,354.0,497.0,10.0,1,1,1
"pri20001128.2000.0055","corey flintoff",46,"NULL",2.0,1.0,2.0,1.0,0.02,159.0,497.0,10.0,1,1,1
"pri20001122.2000.0320","npr news",348,"NULL",2.0,1.0,2.0,1.0,0.95,38.0,64.0,4.0,1,1,0
"pri20001122.2000.0320","ehud barak",296,"NULL",2.0,1.0,0.0,1.0,0.8,59.0,64.0,4.0,1,1,1
"pri20001122.2000.0320","corey flintoff",332,"NULL",2.0,1.0,2.0,1.0,0.9,38.0,64.0,4.0,1,1,1
"pri20001031.2000.1824","singapore airlines",62,"NULL",2.0,2.0,0.0,2.0,0.06,72.0,171.0,5.0,1,1,1
"pri20001031.2000.1824","singapore airlines",373,"NULL",2.0,2.0,0.0,2.0,0.38,157.0,171.0,5.0,1,1,1
"nyt20001217.2241.0165","westchester county airport",1788,"NULL",3.0,1.0,1.0,1.0,0.36,63.0,805.0,16.0,1,1,1
"nyt20001217.2241.0165","n.y. times news service",258,"NULL",4.0,1.0,0.0,0.0,0.05,33.0,805.0,16.0,1,0,0
"nyt20001217.2241.0165","los angeles international",1664,"NULL",3.0,1.0,1.0,1.0,0.34,127.0,805.0,16.0,1,1,0
"nyt20001217.2241.0165","john wayne airport",1736,"NULL",3.0,1.0,1.0,1.0,0.35,127.0,805.0,16.0,1,1,1
"nyt20001217.2241.0165","federal aviation administration",2704,"NULL",3.0,1.0,1.0,2.0,0.55,53.0,805.0,16.0,1,0,1
"nyt20001217.2241.0165","chicago o'hare",539,"NULL",2.0,1.0,1.0,2.0,0.11,90.0,805.0,16.0,1,0,1
"nyt20001217.2241.0165","calif.",1773,"NULL",1.0,1.0,0.0,1.0,0.36,190.0,805.0,16.0,1,1,0
"nyt20001129.2040.0383","n.y. times news service",281,"NULL",4.0,1.0,0.0,0.0,0.06,33.0,823.0,7.0,1,0,0
"nyt20001129.2040.0383","florida supreme court",585,"NULL",3.0,3.0,2.0,1.0,0.12,306.0,823.0,7.0,1,1,1
"nyt20001129.2040.0383","florida supreme court",4157,"NULL",3.0,3.0,2.0,1.0,0.86,199.0,823.0,7.0,1,1,1
"nyt20001129.2040.0383","florida supreme court",2653,"NULL",3.0,3.0,2.0,1.0,0.55,186.0,823.0,7.0,1,1,1
"nyt20001129.2040.0383","david boies",2321,"NULL",2.0,1.0,0.0,2.0,0.48,86.0,823.0,7.0,1,1,1
"nyt20001125.1558.0117","n.y. times news service",13,"NULL",4.0,1.0,0.0,0.0,0.0,33.0,642.0,8.0,1,0,0
"nyt20001125.1558.0117","michigan department of natural resources",895,"NULL",5.0,1.0,0.0,1.0,0.24,130.0,642.0,8.0,1,1,1
"nyt20001125.1558.0117","grosse pointe park",55,"NULL",3.0,1.0,1.0,1.0,0.01,29.0,642.0,8.0,1,1,0
"nyt20001124.2050.0257","n.y. times news service",70,"NULL",4.0,1.0,0.0,0.0,0.02,33.0,709.0,16.0,1,0,0
"nyt20001124.2050.0257","mark landler",30,"NULL",2.0,1.0,0.0,1.0,0.01,21.0,709.0,16.0,1,1,1
"nyt20001124.2050.0257","joseph estrada",1195,"NULL",2.0,1.0,0.0,1.0,0.27,152.0,709.0,16.0,1,1,1
"nyt20001124.2050.0257","international monetary fund",552,"NULL",3.0,1.0,1.0,1.0,0.13,179.0,709.0,16.0,1,0,1
"nyt20001124.2050.0257","imf",711,"NULL",1.0,4.0,0.0,7.0,0.16,117.0,709.0,16.0,1,0,1
"nyt20001124.2050.0257","imf",3610,"NULL",1.0,4.0,0.0,7.0,0.82,102.0,709.0,16.0,1,0,1
"nyt20001124.2050.0257","imf",3247,"NULL",1.0,4.0,0.0,7.0,0.74,67.0,709.0,16.0,1,0,0
"nyt20001124.2050.0257","imf",3191,"NULL",1.0,4.0,0.0,7.0,0.72,60.0,709.0,16.0,1,0,1
"nyt20001124.2050.0257","hong kong general chamber of commerce",2673,"NULL",6.0,1.0,1.0,1.0,0.61,178.0,709.0,16.0,1,1,1
"nyt20001124.2050.0257","chen shui-bian",1242,"NULL",2.0,1.0,1.0,1.0,0.28,152.0,709.0,16.0,1,1,1
"nyt20001123.1511.0062","wall street journal",569,"NULL",3.0,1.0,0.0,3.0,0.12,347.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","volvo",3293,"NULL",1.0,1.0,1.0,15.0,0.71,191.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","times square",2404,"NULL",2.0,1.0,1.0,14.0,0.52,174.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","sun microsystems",790,"NULL",2.0,1.0,1.0,1.0,0.17,347.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","stuart elliott",26,"NULL",2.0,1.0,0.0,3.0,0.01,23.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","roundabout theater company",2346,"NULL",3.0,1.0,1.0,1.0,0.51,174.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","reader's digest association",2519,"NULL",3.0,1.0,1.0,2.0,0.54,298.0,778.0,27.0,1,0,1
"nyt20001123.1511.0062","reader's digest",2692,"NULL",2.0,2.0,0.0,2.0,0.58,298.0,778.0,27.0,1,0,0
"nyt20001123.1511.0062","n.y. times news service",68,"NULL",4.0,1.0,0.0,0.0,0.01,33.0,778.0,27.0,1,0,0
"nyt20001123.1511.0062","john corbett",3879,"NULL",2.0,1.0,1.0,8.0,0.84,199.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","james l. brooks",2172,"NULL",3.0,1.0,1.0,1.0,0.47,114.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","jack nicholson",2127,"NULL",2.0,1.0,1.0,2.0,0.46,63.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","houston grand opera",4040,"NULL",3.0,1.0,1.0,2.0,0.87,187.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","helen hunt",2143,"NULL",2.0,1.0,1.0,2.0,0.46,63.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","gristede",1249,"NULL",1.0,1.0,0.0,0.0,0.27,229.0,778.0,27.0,1,0,0
"nyt20001123.1511.0062","greg kinnear",2155,"NULL",2.0,1.0,1.0,1.0,0.46,63.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","fidelity investments",932,"NULL",2.0,1.0,1.0,1.0,0.2,310.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","campbell soup co.",2214,"NULL",3.0,1.0,0.0,1.0,0.48,123.0,778.0,27.0,1,0,0
"nyt20001123.1511.0062","avaya communication",3632,"NULL",2.0,1.0,0.0,1.0,0.78,173.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","arthur godfrey",3487,"NULL",2.0,1.0,0.0,2.0,0.75,152.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","american airlines theater",2421,"NULL",3.0,1.0,0.0,1.0,0.52,174.0,778.0,27.0,1,1,1
"nyt20001123.1511.0062","aiden shaw",3999,"NULL",2.0,1.0,0.0,1.0,0.86,386.0,778.0,27.0,1,1,1
"nyt20001109.1946.0315","university of florida",4289,"NULL",3.0,1.0,1.0,28.0,0.92,229.0,804.0,17.0,1,0,1
"nyt20001109.1946.0315","sierra club",4003,"NULL",2.0,1.0,1.0,3.0,0.86,246.0,804.0,17.0,1,1,1
"nyt20001109.1946.0315","quastler",2833,"NULL",1.0,2.0,0.0,0.0,0.61,108.0,804.0,17.0,1,0,1
"nyt20001109.1946.0315","n.y. times news service",46,"NULL",4.0,1.0,0.0,0.0,0.01,33.0,804.0,17.0,1,0,0
"nyt20001109.1946.0315","gainesville",4314,"NULL",1.0,1.0,1.0,31.0,0.92,229.0,804.0,17.0,1,0,0
"nyt20001109.1946.0315","florida green party",3506,"NULL",3.0,1.0,0.0,0.0,0.75,205.0,804.0,17.0,1,1,1
"nyt20001109.1946.0315","everglades",4161,"NULL",1.0,2.0,0.0,5.0,0.89,285.0,804.0,17.0,1,0,1
"nyt20001109.1946.0315","everglades",3950,"NULL",1.0,2.0,0.0,5.0,0.85,246.0,804.0,17.0,1,0,1
"nyt20001106.1705.0187","n.y. times news service",275,"NULL",4.0,1.0,0.0,0.0,0.07,33.0,690.0,11.0,1,0,0
"nyt20001106.1705.0187","frank bruni",236,"NULL",2.0,1.0,0.0,1.0,0.06,20.0,690.0,11.0,1,1,1
"nyt20001101.2212.0429","stephen case",597,"NULL",2.0,1.0,0.0,1.0,0.14,201.0,681.0,19.0,1,1,0
"nyt20001101.2212.0429","sanford c. bernstein",1592,"NULL",3.0,1.0,1.0,1.0,0.38,137.0,681.0,19.0,1,1,0
"nyt20001101.2212.0429","roger mcnamee",2128,"NULL",2.0,1.0,1.0,1.0,0.51,178.0,681.0,19.0,1,1,1
"nyt20001101.2212.0429","n.y. times news service",57,"NULL",4.0,1.0,0.0,0.0,0.01,33.0,681.0,19.0,1,0,0
"nyt20001101.2212.0429","merrill lynch",2465,"NULL",2.0,1.0,1.0,3.0,0.59,372.0,681.0,19.0,1,1,1
"nyt20001101.2212.0429","john schreiber",2698,"NULL",2.0,1.0,1.0,1.0,0.64,253.0,681.0,19.0,1,1,1
"nyt20001101.2212.0429","alex berenson",16,"NULL",2.0,1.0,0.0,1.0,0.0,22.0,681.0,19.0,1,1,1
"nyt20001002.1754.0290","national marine fisheries service",672,"NULL",4.0,2.0,0.0,2.0,0.16,129.0,655.0,0.0,1,1,1
"nyt20001002.1754.0290","national marine fisheries service",4042,"NULL",4.0,2.0,0.0,2.0,0.95,222.0,655.0,0.0,1,1,1
"nyt20001002.1754.0290","n.y. times news service",195,"NULL",4.0,1.0,0.0,0.0,0.05,33.0,655.0,0.0,1,0,0
"nyt20001002.1754.0290","gulf of mexico",302,"NULL",3.0,2.0,0.0,4.0,0.07,238.0,655.0,0.0,1,1,1
"nyt20001002.1754.0290","gulf of mexico",1961,"NULL",3.0,2.0,0.0,4.0,0.46,256.0,655.0,0.0,1,1,1
"chtb_267.eng","project a",3501,"NULL",2.0,1.0,0.0,1.0,0.99,128.0,552.0,18.0,0,1,0
"chtb_267.eng","production of",1121,"NULL",2.0,1.0,0.0,0.0,0.32,116.0,552.0,18.0,0,1,0
"chtb_267.eng","national product",2899,"NULL",2.0,2.0,0.0,3.0,0.82,213.0,552.0,18.0,0,1,0
"chtb_267.eng","national product",2649,"NULL",2.0,2.0,0.0,3.0,0.75,106.0,552.0,18.0,0,1,0
"chtb_267.eng","more time",3445,"NULL",2.0,1.0,0.0,0.0,0.98,128.0,552.0,18.0,0,1,0
"chtb_267.eng","best time",3285,"NULL",2.0,1.0,0.0,2.0,0.93,303.0,552.0,18.0,0,1,0
"chtb_267.eng","xinhua news agency",424,"NULL",3.0,2.0,3.0,1.0,0.12,286.0,552.0,18.0,1,1,1
"chtb_267.eng","xinhua news agency",2,"NULL",3.0,2.0,3.0,1.0,0.0,283.0,552.0,18.0,1,1,1
"chtb_267.eng","xinhua news",424,"NULL",2.0,2.0,0.0,1.0,0.12,286.0,552.0,18.0,0,1,0
"chtb_267.eng","xinhua news",2,"NULL",2.0,2.0,0.0,1.0,0.0,283.0,552.0,18.0,0,1,0
"chtb_267.eng","weir group",74,"NULL",2.0,7.0,1.0,1.0,0.02,283.0,552.0,18.0,1,1,1
"chtb_267.eng","weir group",3128,"NULL",2.0,7.0,1.0,1.0,0.89,303.0,552.0,18.0,1,1,1
"chtb_267.eng","weir group",2316,"NULL",2.0,7.0,1.0,1.0,0.66,179.0,552.0,18.0,1,1,1
"chtb_267.eng","weir group",2159,"NULL",2.0,7.0,1.0,1.0,0.61,152.0,552.0,18.0,1,1,0
"chtb_267.eng","weir group",2104,"NULL",2.0,7.0,1.0,1.0,0.6,73.0,552.0,18.0,1,1,1
"chtb_267.eng","weir group",1731,"NULL",2.0,7.0,1.0,1.0,0.49,210.0,552.0,18.0,1,1,1
"chtb_267.eng","weir group",1427,"NULL",2.0,7.0,1.0,1.0,0.4,136.0,552.0,18.0,1,1,1
"chtb_267.eng","the weir",70,"NULL",2.0,7.0,0.0,1.0,0.02,283.0,552.0,18.0,0,1,0
"chtb_267.eng","september 1st",31,"NULL",2.0,1.0,0.0,0.0,0.01,283.0,552.0,18.0,0,1,0
"chtb_267.eng","rudong",1927,"NULL",1.0,1.0,1.0,1.0,0.55,102.0,552.0,18.0,0,1,1
"chtb_267.eng","jiangsu province",155,"NULL",2.0,1.0,1.0,1.0,0.04,283.0,552.0,18.0,1,1,1
"chtb_227.eng","xinhua news agency",2,"NULL",3.0,1.0,3.0,1.0,0.0,260.0,188.0,2.0,1,1,1
"chtb_227.eng","xinhua news",2,"NULL",2.0,1.0,0.0,1.0,0.0,260.0,188.0,2.0,0,1,0
"chtb_227.eng","august 31st",642,"NULL",2.0,3.0,0.0,0.0,0.5,180.0,188.0,2.0,0,1,0
"chtb_227.eng","august 31st",30,"NULL",2.0,3.0,0.0,0.0,0.02,260.0,188.0,2.0,0,1,0
"chtb_227.eng","august 31st",130,"NULL",2.0,3.0,0.0,0.0,0.1,260.0,188.0,2.0,0,1,0
"chtb_227.eng","august 29th",792,"NULL",2.0,1.0,0.0,1.0,0.61,180.0,188.0,2.0,0,1,0
"chtb_171.eng","state of",305,"NULL",2.0,1.0,0.0,5.0,0.58,188.0,85.0,0.0,0,1,0
"chtb_171.eng","president fujimori",147,"NULL",2.0,1.0,0.0,0.0,0.28,188.0,85.0,0.0,0,1,0
"chtb_171.eng","alberto fujimori",73,"NULL",2.0,1.0,0.0,1.0,0.14,73.0,85.0,0.0,1,1,1
"chtb_165.eng","capital of",1326,"NULL",2.0,1.0,0.0,1.0,0.55,215.0,369.0,11.0,0,1,0
"chtb_165.eng","xinhua news agency",2,"NULL",3.0,1.0,3.0,1.0,0.0,292.0,369.0,11.0,1,1,1
"chtb_165.eng","xinhua news",2,"NULL",2.0,1.0,0.0,1.0,0.0,292.0,369.0,11.0,0,1,0
"chtb_165.eng","waitan",2307,"NULL",1.0,1.0,0.0,0.0,0.96,284.0,369.0,11.0,1,1,1
"chtb_165.eng","tokyo mitsubishi",445,"NULL",2.0,1.0,0.0,0.0,0.19,284.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",98,"NULL",2.0,6.0,0.0,1.0,0.04,292.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",636,"NULL",2.0,6.0,0.0,1.0,0.27,284.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",580,"NULL",2.0,6.0,0.0,1.0,0.24,284.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",497,"NULL",2.0,6.0,0.0,1.0,0.21,284.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",1987,"NULL",2.0,6.0,0.0,1.0,0.83,218.0,369.0,11.0,0,1,0
"chtb_165.eng","shanghai branch",1910,"NULL",2.0,6.0,0.0,1.0,0.8,218.0,369.0,11.0,0,1,0
"chtb_165.eng","mitsubishi bank",451,"NULL",2.0,1.0,0.0,2.0,0.19,284.0,369.0,11.0,0,1,0
"chtb_165.eng","kangyo bank",616,"NULL",2.0,1.0,0.0,1.0,0.26,284.0,369.0,11.0,0,1,0
"chtb_165.eng","japan industrial bank",1933,"NULL",3.0,1.0,0.0,0.0,0.81,218.0,369.0,11.0,1,1,1
"chtb_165.eng","franklin templeton",1233,"NULL",2.0,1.0,0.0,1.0,0.51,215.0,369.0,11.0,0,1,0
"chtb_165.eng","dai-ichi kangyo bank",607,"NULL",3.0,1.0,0.0,1.0,0.25,284.0,369.0,11.0,1,1,1
"chtb_165.eng","credit bank",2018,"NULL",2.0,1.0,0.0,2.0,0.84,218.0,369.0,11.0,0,1,0
"chtb_165.eng","april 3rd",32,"NULL",2.0,1.0,0.0,1.0,0.01,292.0,369.0,11.0,0,1,0
"voa20001223.2000.0139","vojislav kostunica",40,"NULL",2.0,1.0,0.0,1.0,0.09,132.0,65.0,3.0,1,1,1
"voa20001223.2000.0139","slobodan milosevic",325,"NULL",2.0,1.0,1.0,1.0,0.76,117.0,65.0,3.0,1,1,1
"voa20001223.2000.0139","kostunica",49,"NULL",1.0,1.0,0.0,1.0,0.11,132.0,65.0,3.0,0,1,0
"voa20001223.2000.0139","democratic opposition of serbia",138,"NULL",4.0,1.0,0.0,1.0,0.32,105.0,65.0,3.0,1,1,1
"voa20001223.2000.0139","democratic opposition",138,"NULL",2.0,1.0,1.0,1.0,0.32,105.0,65.0,3.0,0,1,0
"voa20001220.2000.0060","old friend",275,"NULL",2.0,1.0,0.0,4.0,0.31,92.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","first priority",430,"NULL",2.0,1.0,0.0,2.0,0.48,145.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","w bush",52,"NULL",2.0,1.0,0.0,0.0,0.06,72.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","voa news",19,"NULL",2.0,1.0,2.0,1.0,0.02,99.0,150.0,3.0,1,1,1
"voa20001220.2000.0060","us businesses",532,"NULL",2.0,1.0,0.0,1.0,0.6,134.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","o' neil",132,"NULL",2.0,1.0,0.0,0.0,0.15,157.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","mel martinez",672,"NULL",2.0,1.0,0.0,2.0,0.75,97.0,150.0,3.0,1,1,1
"voa20001220.2000.0060","jeb bush",822,"NULL",2.0,1.0,0.0,2.0,0.92,100.0,150.0,3.0,1,1,1
"voa20001220.2000.0060","governor of texas",876,"NULL",3.0,1.0,0.0,2.0,0.98,59.0,150.0,3.0,0,1,1
"voa20001220.2000.0060","governor of",876,"NULL",2.0,1.0,0.0,17.0,0.98,59.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","george w bush",45,"NULL",3.0,1.0,0.0,1.0,0.05,72.0,150.0,3.0,1,1,1
"voa20001220.2000.0060","george w",45,"NULL",2.0,1.0,0.0,0.0,0.05,72.0,150.0,3.0,0,1,0
"voa20001220.2000.0060","don evans",314,"NULL",2.0,1.0,0.0,3.0,0.35,92.0,150.0,3.0,1,1,1
"voa20001208.2000.1275","cup championships",693,"NULL",2.0,1.0,0.0,1.0,0.96,111.0,135.0,0.0,0,1,0
"voa20001129.2000.0364","state of florida",3000,"NULL",3.0,1.0,3.0,5.0,0.82,243.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","state of",3000,"NULL",2.0,1.0,0.0,5.0,0.82,243.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","real alternative",545,"NULL",2.0,1.0,0.0,1.0,0.15,146.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","w bush",3671,"NULL",2.0,1.0,0.0,0.0,1.0,155.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","vice president gore",3577,"NULL",3.0,1.0,0.0,2.0,0.97,155.0,659.0,9.0,0,1,1
"voa20001129.2000.0364","voa news",25,"NULL",2.0,1.0,2.0,1.0,0.01,37.0,659.0,9.0,0,1,1
"voa20001129.2000.0364","lawrence tribe",770,"NULL",2.0,1.0,1.0,0.0,0.21,170.0,659.0,9.0,1,1,0
"voa20001129.2000.0364","harvard law",790,"NULL",2.0,1.0,0.0,1.0,0.21,170.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","george w bush",3664,"NULL",3.0,1.0,0.0,1.0,1.0,155.0,659.0,9.0,1,1,1
"voa20001129.2000.0364","george w",3664,"NULL",2.0,1.0,0.0,0.0,1.0,155.0,659.0,9.0,0,1,0
"voa20001129.2000.0364","florida courts",1419,"NULL",2.0,1.0,0.0,1.0,0.39,185.0,659.0,9.0,0,1,0
"pri20001201.2000.1828","state of florida",411,"NULL",3.0,1.0,3.0,5.0,0.31,295.0,224.0,8.0,0,1,0
"pri20001201.2000.1828","state of",411,"NULL",2.0,1.0,0.0,5.0,0.31,295.0,224.0,8.0,0,1,0
"pri20001201.2000.1828","w. bush",324,"NULL",2.0,1.0,0.0,0.0,0.25,373.0,224.0,8.0,0,1,0
"pri20001201.2000.1828","w.",324,"NULL",1.0,2.0,0.0,7.0,0.25,373.0,224.0,8.0,0,1,0
"pri20001201.2000.1828","sandra day o'connor",776,"NULL",3.0,1.0,1.0,2.0,0.59,99.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","miami dade counties",1291,"NULL",3.0,1.0,0.0,0.0,0.99,185.0,224.0,8.0,0,1,1
"pri20001201.2000.1828","miami dade",1291,"NULL",2.0,1.0,0.0,4.0,0.99,185.0,224.0,8.0,1,1,1
"pri20001201.2000.1828","george w.",317,"NULL",2.0,1.0,0.0,3.0,0.24,373.0,224.0,8.0,0,1,0
